Publication_Type,Title,Authors_Standardized,Publication_Year,Journal_Venue,Publisher,Usage_Type,Usage_Justification,Usage_Description,Research_Domain,Geographic_Focus,Data_Years_Used,Key_Findings,Policy_Implications,DOI_URL,Notes
ACADEMIC,Regulating Hospital Prices Based On Market Concentration Is Likely To Leave High-Price Hospitals Unaffected,"Maximilian J. Pany, Michael E. Chernew, Leemore S. Dafny",2021,Health Affairs,Harvard University,CONTEXTUAL_REFERENCE,"AHRQ Compendium is explicitly used ""as an alternative data source... to test the robustness"" (i.e., validate) the study's primary findings derived from Torch Insight. This is a validation use.","Used 2018 AHRQ Compendium of US Health Systems files in sensitivity analyses as an alternative data source to Torch Insight data for linking hospitals to health care systems, to test the robustness of the study's findings on market concentration and hospital prices.",Consolidation & Mergers,USA,2018,The study's main findings regarding the prevalence of high-price hospitals across different market concentration categories were confirmed to be robust when using the 2018 AHRQ Compendium files as an alternative data source for identifying hospital system affiliations in sensitivity analyses.,The use of the 2018 AHRQ Compendium data in sensitivity analyses to confirm the robustness of findings that high-price hospitals are prevalent even in less concentrated markets supports the policy recommendation that regulations should target high prices directly rather than relying solely on market concentration measures.,https://doi.org/10.1377/hithaff.2021.00001,
POLICY,Exploring Reimbursement Differences Between Nonprofit and For-Profit Health Systems Part 1: Analyzing Financial and Operational Metrics by Ownership Type,"Sanjula Jain, Ph.D.",2024,Not Applicable,Trilliant Health,PRIMARY_ANALYSIS,"The AHRQ Compendium is used to ""identify 640 U.S. health systems and their hospital counts by ownership type."" This identification and enumeration (e.g., ""2,353 secular nonprofit, 575 government..."") is a direct output from AHRQ data and forms the basis of their comparative analysis.",Used AHRQ Compendium data (reported as of 2022) to identify 640 U.S. health systems and their hospital counts by ownership type for an analysis comparing operational and financial metrics across different health system ownership structures,Market Power & Pricing,USA,2022,"Analysis of AHRQ Compendium data (as of 2022) identified 640 U.S. health systems and revealed non-Federal hospital distribution by ownership as 2,353 secular nonprofit, 575 government, 1,147 faith-based nonprofit, and 1,689 for-profit, highlighting that the 17 for-profit systems own almost 30% of these hospitals","The AHRQ Compendium-based analysis revealing that for-profit systems do not uniformly have the highest average net revenue per discharge supports the need for policymakers to use accurate, granular benchmarks beyond tax status when evaluating health system financial performance and considering policy changes","https://www.trillianthealth.com/market-research/studies/exploring-reimbursement-differences-between-nonprofit-and-for-profit-health-systems-part-1#:~:text=The%20AHRQ%20Compendium%20lists%20640,Federal%20hospitals",
ACADEMIC,"Consolidation Of Providers Into Health Systems Increased Substantially, 2016â€“18",Michael F. Furukawa; [+ others],2020,Health Affairs,Not specified in provided text,PRIMARY_ANALYSIS,"AHRQ Compendium data is directly used to ""identify health systems... system affiliations of physicians for analyzing trends."" The key findings (""72 percent of US hospitals and 51 percent of physicians were affiliated..."") are direct outputs of this analysis. The definitional use is secondary to the primary analytical use here.","Used 2016 and 2018 AHRQ Compendium of US Health Systems data to identify health systems, their hospitals, system size, ownership type, and system affiliations of physicians for analyzing trends in provider consolidation into health systems. Also used the AHRQ Compendium's definition of a health system.",Consolidation & Mergers,USA,"2016, 2018","Analysis of 2016 and 2018 AHRQ Compendium data revealed that by 2018, 72 percent of US hospitals and 51 percent of physicians were affiliated with one of 637 health systems, with primary care physician affiliation increasing from 38 to 49 percent during this period, indicating substantial provider consolidation.","The AHRQ Compendium-derived findings on increased provider consolidation and the scale of large health systems highlight potential challenges for regulatory efforts concerning community needs and antitrust enforcement, suggesting a need for monitoring and policy responses to these market changes.",https://doi.org/10.1377/hlthaff.2020.00017,
OTHER,Transdisciplinary perspectives for health systems science,Jiang Bian; [+ others],2024,npj Health Systems,"University of Florida, Duke-NUS Medical School National University of Singapore, Mayo Clinic, Carnegie Mellon University, Weill Cornell Medicine, University of Utah, Cornell University, University of Texas Health Science Center at Houston",CONTEXTUAL_REFERENCE,"The AHRQ Compendium is ""Mentioned... as an example"" to provide context within a broader discussion. It's not being used for data analysis or to frame the methodology of this specific editorial.","Mentioned the AHRQ Compendium of U.S. Health Systems (2024) as an example of a United States-specific approach to defining health systems, within a broader international discussion on the variations and complexities of health system definitions.",Methodology & Data Quality,USA,2024,"No AHRQ-derived statistic is presented as a key finding, as the AHRQ Compendium is cited as a United States resource for defining health systems in the context of varying global definitions.","The AHRQ Compendium's role in defining U.S. health systems is noted in an editorial that advocates for a transdisciplinary approach to health systems science, which can help policymakers worldwide better understand and improve diverse health systems.",https://doi.org/10.1038/s44401-024-00002-3,
POLICY,Exploring Reimbursement Differences Between Nonprofit and For-Profit Health Systems Part 1: Analyzing Financial and Operational Metrics by Ownership Type,"Sanjula Jain, Ph.D.",2024,Not Applicable,Trilliant Health,PRIMARY_ANALYSIS,Direct identification and enumeration from AHRQ data for comparative analysis.,Used AHRQ Compendium data (reported as of 2022) to identify 640 U.S. health systems and their hospital counts by ownership type for an analysis comparing operational and financial metrics across different health system ownership structures,Market Power & Pricing,USA,2022,"Analysis of AHRQ Compendium data (as of 2022) identified 640 U.S. health systems and revealed non-Federal hospital distribution by ownership as 2,353 secular nonprofit, 575 government, 1,147 faith-based nonprofit, and 1,689 for-profit, highlighting that the 17 for-profit systems own almost 30% of these hospitals","The AHRQ Compendium-based analysis revealing that for-profit systems do not uniformly have the highest average net revenue per discharge supports the need for policymakers to use accurate, granular benchmarks beyond tax status when evaluating health system financial performance and considering policy changes","https://www.trillianthealth.com/market-research/studies/exploring-reimbursement-differences-between-nonprofit-and-for-profit-health-systems-part-1#:~:text=The%20AHRQ%20Compendium%20lists%20640,Federal%20hospitals",
ACADEMIC,Practice and market factors associated with provider volume of health information exchange,"Nate C Apathy, Joshua R Vest, Julia Adler-Milstein,; [+ others]",2021,J Am Med Inform Assoc,Indiana University,RESEARCH_ENABLER,"The AHRQ Compendium is used to ""identify... practices affiliated... creating a binary indicator of health system membership."" This indicator is a key variable created using AHRQ data for their subsequent association analysis, thus enabling the research design.","Used the 2016 AHRQ Compendium of US Health Systems to identify office-based provider practices affiliated with larger health systems by matching practice IDs, creating a binary indicator of health system membership for analyzing its association with provider health information exchange volume",Quality & Outcomes,USA,2016,"The AHRQ Compendium was used to identify provider practice affiliation with health systems, and the study found no statistically significant association between this health system membership and the volume of provider health information exchange use","The finding, informed by AHRQ Compendium data on system membership, that such membership is not associated with higher provider HIE use suggests that policies aiming to boost HIE should not solely rely on system affiliation and may need broader strategies beyond encouraging system integration",https://pmc.ncbi.nlm.nih.gov/articles/PMC8279783/,
ACADEMIC,Associations Between Integration and Patient Experience in Hospital-Based Health Systems: An Exploration of Horizontal and Vertical Forms of Integration,"Torres, Jillian S. PhD, Diana, Mark L. PhD",2024,Journal of Healthcare Management,Not specified in document,RESEARCH_ENABLER,"The Compendium is used ""to obtain independent variables... and hospital-level covariates."" These AHRQ-derived variables are essential inputs for their study model, enabling the exploration of associations.",Used the AHRQ Compendium of US Health Systems (data year not specified in abstract) to obtain independent variables on horizontal and vertical integration and hospital-level covariates for a study exploring associations between different forms of health system integration and hospital patient experience scores,Vertical Integration,USA,Not specified in document,"Using AHRQ Compendium data to define variables for physician-hospital integration and investor ownership, the study found physician-hospital integration was associated with patient overall impression scores 2 percentage points higher, while investor ownership was associated with a 5% lower overall patient experience score compared to other ownership forms","The AHRQ Compendium-informed findings, showing higher patient experience scores in some vertically integrated systems but not with horizontal integration, suggest policymakers should encourage beneficial vertical integration strategies while cautiously approaching multihospital ownership expansions",https://journals.lww.com/jhmonline/abstract/2024/09000/associations_between_integration_and_patient.4.aspx,
ACADEMIC,Improving health equity through health care systems research,"Deena J. Chisolm, Jerome A. Dugan, Jose F. Figueroa,; [+ others]",2023,Health Services Research,Nationwide Children's Hospital and The Ohio State University,CONTEXTUAL_REFERENCE,"The Compendium is ""cited as an example of a national tracking system"" to support a recommendation for continued investment. This is a reference to AHRQ's role and the Compendium as a resource.",The AHRQ Compendium of Health Systems (year not specified) was cited as an example of a national tracking system for health care organizations and system consolidation whose continued investment by AHRQ is recommended to support research on health equity-informed approaches to health system consolidation and access,Consolidation & Mergers,USA,Not specified in document,"No AHRQ-derived statistic is presented as a key finding, as the AHRQ Compendium was cited as a national tracking system whose continued investment by AHRQ is recommended to support health equity research related to system consolidation","The paper recommends continued AHRQ investment in national tracking systems like the Compendium of Health Systems to facilitate research on how health system consolidation impacts health equity, access, and the cultural appropriateness of care, thereby informing policy changes",https://onlinelibrary.wiley.com/doi/10.1111/1475-6773.14192,
OTHER,Using Data to Understand Physician Practices and Optimize Patient Outcomes,"Herbert S. Wong, Jennifer Smith, Duncan Sibson",2022,Not Applicable,CIVHC (Center for Improving Value in Health Care),CONTEXTUAL_REFERENCE,"The Compendium was ""evaluated and acquired as a data source during the planning... stages for AHRQ's... Database... development project."" This describes the Compendium's role as a potential input or foundational piece for another AHRQ project, a contextual mention of its utility.",AHRQ Compendium of U.S. Health Systems (year not specified in this presentation but acquired as publicly available data) was evaluated and acquired as a data source during the planning and data acquisition stages for AHRQ's Physician and Physician Practice Research Database (3P-RD) development project,Methodology & Data Quality,USA,Not specified in document,"No AHRQ-derived statistic is presented as a key finding, as the AHRQ Compendium was mentioned as one of the publicly available data sources acquired for the development of AHRQ's Physician and Physician Practice Research Database (3P-RD)","The acquisition of the AHRQ Compendium as a data source for the 3P-RD project supports AHRQ's goal of creating a comprehensive research database to enable evidence-based policy decisions regarding healthcare professionals and organizations, particularly for addressing health disparities and national health emergencies",https://civhc.org/wp-content/uploads/2023/04/Using-Data-to-Understand-Physician-Practices-and-Optimize-Patient-Outcomes.pdf,
ACADEMIC,Exploring the Relationship Between Medication Adherence and Diabetes Disparities among Hispanic Patients in a Large Health System,"Kimberly Danae Cauley Narain, Ayan Patel, Samuel Skootsky,; [+ others]",2023,J Gen Intern Med,"University of California, Los Angeles (UCLA)",CONTEXTUAL_REFERENCE,AHRQ data (indirectly cited) used to state a fact for providing context about the study setting.,"Used 2018 AHRQ Compendium data, cited via a Health Affairs Forefront article, to state that the University of California Health System is the 12th largest health system in the USA by number of affiliated physicians for providing context about the study setting's significant scale",Consolidation & Mergers,California,2018,"Data from the 2018 AHRQ Compendium, as cited in a secondary source, identified the University of California Health System as the 12th largest health system in the USA by number of affiliated physicians, which was used to establish the large scale of the study's setting","The AHRQ Compendium-derived information establishing UC Health as the 12th largest US health system contextualizes the study on diabetes disparities, suggesting that interventions addressing such disparities within this major system could inform efforts in other large-scale healthcare settings",https://pmc.ncbi.nlm.nih.gov/articles/PMC11116283/,
ACADEMIC,Association of the Range of Outpatient Services Provided by Primary Care Physicians with Subsequent Health Care Costs and Utilization,"Eugene C Rich, Kristanna Peris, Marlena Luhr,; [+ others]",2023,J Gen Intern Med,Mathematica,CONTEXTUAL_REFERENCE,"AHRQ data (indirectly cited) is used ""to state that 51% of PCPs were affiliated... for contextualizing the study's finding."" This is using an AHRQ-derived statistic for background/context.","Used 2021 AHRQ Compendium data, cited via a Health Affairs Forefront article, to state that 51% of Primary Care Physicians were affiliated with integrated health systems by 2021 for contextualizing the study's finding that such affiliations are associated with narrower PCP range of services",Consolidation & Mergers,Multi-state,2021,"Data from the 2021 AHRQ Compendium, as cited in a Health Affairs Forefront article, indicated that 51% of Primary Care Physicians were affiliated with integrated health care systems by 2021, providing context for the study's findings on physician service range","The AHRQ Compendium finding that 51% of PCPs were system-affiliated by 2021, coupled with the study's result that such affiliations link to narrower service ranges, highlights a policy challenge in promoting broader primary care scope within increasingly consolidated health systems",https://pmc.ncbi.nlm.nih.gov/articles/PMC10682337/,
ACADEMIC,The application of organizational slack to hospital system responsiveness during the COVID-19 pandemic,"John P. McHugh, Dori A. Cross",2021,J Hosp Manag Health Policy,"Columbia University, University of Minnesota",CONTEXTUAL_REFERENCE,"AHRQ data (indirectly cited) used ""to state the number... and the percentage... for providing background context.""","Used 2018 AHRQ Compendium data, cited via a Health Affairs Blog post, to state the number of health systems in the United States and the percentage of hospitals part of a system in 2018 for providing background context on the prevalence of hospital systems",Consolidation & Mergers,USA,2018,"Data from the 2018 AHRQ Compendium, cited via a secondary source, indicated there were 637 health systems in the United States and 71.8% of hospitals were part of a health system, establishing the widespread nature of hospital systems",The AHRQ Compendium data showing that 71.8% of US hospitals were part of a health system in 2018 underscores the importance of understanding system-level characteristics like organizational slack and structure for effective crisis response and future policy considerations regarding hospital preparedness,https://jhmhp.amegroups.org/article/view/6701/html,
ACADEMIC,Estimates of ACO savings in the presence of provider and beneficiary selection,"MariÃ©tou H OuayogodÃ©, Ellen Meara, Kate Ho,; [+ others]",2021,Healthc (Amst),University of Wisconsin School of Medicine and Public Health,CONTEXTUAL_REFERENCE,"AHRQ Compendium documentation and an article referencing it are cited ""as academic references to describe types of research... supported by comprehensive data sources."" This is referencing AHRQ's work to provide context about data sources in general.","Cited the 2016 AHRQ Compendium's Hospital Linkage File Technical Documentation and a 2018 AHRQ Compendium Health Affairs article as academic references to describe types of research on health care organization characteristics that are supported by comprehensive data sources like IQVIA, which was used in this study",Consolidation & Mergers,USA,"2016, 2018","No AHRQ-derived statistic is presented as a key finding, as AHRQ Compendium publications were cited as academic references to contextualize data sources for research on health system characteristics",None stated,https://pmc.ncbi.nlm.nih.gov/articles/PMC7887069/,
POLICY,Care Systems COVID-19 Impact Assessment: Lessons Learned and Compelling Needs,Jeffrey Balser; [+ others],2021,NAM Perspectives,National Academy of Medicine,CONTEXTUAL_REFERENCE,"AHRQ Compendium is used ""to provide data on the number... their composition... for establishing the context and significance."" This is a clear use for providing background and contextual information.","Used 2016 AHRQ Snapshot and 2018 AHRQ Compendium to provide data on the number of health systems, their composition like bed capacity and physician employment, and their role with vulnerable populations for establishing the context and significance of the U.S. health systems under review.",Consolidation & Mergers,USA,"2016, 2018","AHRQ 2016 Snapshot data indicated there were over 600 U.S. health systems which collectively contained the majority of hospital beds and employed nearly half the nation's physicians, highlighting the substantial scale of these organizations central to the paper's discussion on pandemic impacts.","The AHRQ Compendium's characterization of the large scale and critical role of U.S. health systems, supported by its data on system numbers and physician employment, reinforces the urgency and importance of the policy actions discussed in the paper, such as enhancing financial resiliency and addressing health inequities for these vital entities.",https://doi.org/10.31478/202104d,
ACADEMIC,Racial Inequality in Prescription Opioid Receipt â€” Role of Individual Health Systems,Nancy E. Morden; [+ others],2021,N Engl J Med,"The Dartmouth Institute for Health Policy and Clinical Practice - Geisel School of Medicine at Dartmouth, National Bureau of Economic Research",RESEARCH_ENABLER,"AHRQ Compendium is cited ""as a reference in the methodology for health system attribution, specifically in the context of identifying and describing U.S. health care delivery systems for the purpose of attributing patients."" This is AHRQ providing the framework/reference for how systems are identified and patients attributed, a core methodological step.","Used 2018 AHRQ Compendium by citing it as a reference in the methodology for health system attribution, specifically in the context of identifying and describing U.S. health care delivery systems for the purpose of attributing patients to analyze racial disparities in opioid receipt",Health Equity & Access,USA,2018,"No AHRQ-derived statistic is presented as a key finding, as AHRQ data were used as a methodological reference for health system definition and attribution","The use of the AHRQ Compendium to support the identification and definition of health systems enabled the study to reveal system-level racial disparities in opioid receipt, supporting calls for policymakers to explore root causes and remediation strategies for such inequalities within health systems",https://doi.org/10.1056/NEJMsa2034159,
ACADEMIC,Hospital And Regional Characteristics Associated With Emergency Department Facility Fee Cash Pricing,Morgan A. Henderson and Morgane C. Mouslim,2022,Health Affairs,The Ohio State University,RESEARCH_ENABLER,"AHRQ data is used ""to obtain hospital health system affiliation data for inclusion as a hospital characteristic in an analysis."" This is AHRQ providing a key variable for their analytical mode",Used 2018 AHRQ Compendium to obtain hospital health system affiliation data for inclusion as a hospital characteristic in an analysis of factors associated with Emergency Department facility fee cash prices.,Market Power & Pricing,USA,2018,"No AHRQ-derived statistic related to health system affiliation's impact on ED fees is presented as a key finding in the abstract, as AHRQ data were likely used to provide hospital system affiliation as an analytical variable.",The incorporation of AHRQ Compendium data on hospital system affiliation into analyses of ED pricing variations supports targeted policy efforts to ensure affordable ED care by allowing examination of how system membership influences costs for vulnerable patients.,https://doi.org/10.1377/hlthaff.2022.00045,ABSTRACT ONLY
ACADEMIC,"Dementia care navigation: Building toward a common definition, key principles, and outcomes",Beth A Kallmyer; [+ others],2023,Alzheimers Dement (N Y),Alzheimer's Association,RESEARCH_ENABLER,"The AHRQ Compendium is used ""to provide an official definition of a health system for establishing the operational context."" This definition frames their discussion and understanding of the systems in which navigation programs operate",Used 2018 AHRQ Compendium resource to provide an official definition of a health system for establishing the operational context of U.S. dementia care navigation programs discussed in the article.,Methodology & Data Quality,USA,2018,"No AHRQ-derived statistic is presented as a key finding, as an AHRQ resource was used to provide a foundational definition of a health system.","By providing a standardized AHRQ definition of a health system, the paper supports clearer policy development and consistent implementation strategies for dementia care navigation programs by ensuring a common understanding of the system context.",https://doi.org/10.1002/trc2.12408,
ACADEMIC,Fragmentation of Care Among Black Women With Breast Cancer and Comorbidities: The Role of Health Systems,Michelle Doose; [+ others],2021,JCO Oncol Pract,"Rutgers School of Public Health, Rutgers Cancer Institute of New Jersey, Rutgers Center for State Health Policy",CONTEXTUAL_REFERENCE,"AHRQ is used ""to provide a definition... and cite the number... for background context."" Both uses here are for establishing background and context.",Used 2018 AHRQ Compendium to provide a definition of health systems and cite the number of health systems in the U.S. for background context in a study on care fragmentation,Health Equity & Access,New Jersey,2018,"No AHRQ-derived statistic is presented as a key finding, as AHRQ data were used for providing a definition and count of U.S. health systems for background context","The AHRQ Compendium's definition and enumeration of health systems provides a foundational understanding of the entities involved in care delivery, which supports the study's call for examining health policies that shape the organizational structures of these systems to improve care coordination and health equity",https://doi.org/10.1200/OP.20.01089,
ACADEMIC,Representation of Women in the Leadership Structure of the US Health Care System,Bismarck C. Odei; [+ others],2021,JAMA Network Open,The Ohio State University,RESEARCH_ENABLER,"The Compendium is used ""to identify U.S. health systems meeting the study's criterion... for constructing the cohort."" This is AHRQ defining the sample for their analysis.",Used the 2018 AHRQ Compendium to identify U.S. health systems meeting the study's criterion of at least five affiliated hospitals for constructing the cohort for analyzing women's representation in leadership.,Health Equity & Access,USA,2018,"No AHRQ-derived statistic is presented as a key finding, as the AHRQ Compendium was used methodologically to select the health systems included in the study on gender representation in leadership.","The AHRQ Compendium's use in establishing a defined sample of health systems facilitated a broad analysis of leadership diversity, highlighting underrepresentation and thereby supporting calls for policies that promote gender diversity in health care leadership to better reflect the population served.",https://doi.orgorg/10.1001/jamanetworkopen.2021.36358,
ACADEMIC,Safety and Distribution of Opioid Prescribing by U.S. Surgeons,Jennifer F Waljee; [+ others],2023,Ann Surg,University of Michigan,RESEARCH_ENABLER,"AHRQ is used via linking ""to ascertain the health system affiliation... which served as an analytical variable."" AHRQ provides data to create a key variable used in their analysis.","Used the 2018 AHRQ Compendium by linking with provider identifiers to ascertain the health system affiliation of U.S. surgeons, which served as an analytical variable for examining characteristics associated with high-volume and high-risk opioid prescribing patterns.",Quality & Outcomes,USA,2018,"Surgeon health system affiliation, identified using the 2018 AHRQ Compendium, was negatively associated with being a high-volume opioid prescriber by 1.6 percentage points, and a lack of health system affiliation correlated with high-risk prescribing, highlighting differing prescribing patterns based on system linkage.","The finding, derived from AHRQ Compendium-based health system affiliation data, that unaffiliated surgeons exhibit higher-risk opioid prescribing suggests quality improvement and stewardship policies need to effectively reach surgeons outside of integrated health systems.",https://doi.org/10.1097/SLA.0000000000005802,
ACADEMIC,"Geographic Variation In The Consolidation Of Physicians Into Health Systems, 2016-18",Laura Kimmey; [+ others],2021,Health Affairs,"Mathematica, Agency for Healthcare Research and Quality",PRIMARY_ANALYSIS,"AHRQ data (list of systems, identifiers) is used ""to identify physicians affiliated... for the purpose of measuring and analyzing physician consolidation."" The reported findings (""in 113 of 382 US... MSAs, more than half of physicians were in a health system..."") are direct outputs of this analysis of AHRQ data.","Used 2016 and 2018 AHRQ Compendium data, specifically its list of health systems and their unique identifiers, to identify physicians affiliated with these systems for the purpose of measuring and analyzing physician consolidation into health systems across U.S. metropolitan statistical areas",Consolidation & Mergers,USA,"2016, 2018","Analysis using AHRQ Compendium data to define health systems showed that in 113 of 382 US metropolitan statistical areas (MSAs), more than half of physicians were in a health system in 2018, and physician consolidation increased in 92 percent of MSAs from 2016 to 2018, indicating a significant trend toward physician consolidation into these defined systems","The findings of widespread physician consolidation into health systems, identified using the AHRQ Compendium, support calls for policymakers to closely monitor market-level competition and consider actions such as establishing cost growth targets, promoting multipayer alliances, restricting anticompetitive contract provisions, and expanding site-neutral payments to address potential negative impacts of consolidation",https://doi.org/10.1377/hlthaff.2020.00812,
ACADEMIC,Accelerating Virtual Health Implementation Following the COVID-19 Pandemic: Questionnaire Study,Melissa Stahl; [+ others],2022,JMIR Form Res,The Health Management Academy,CONTEXTUAL_REFERENCE,"The Compendium is used ""to provide the statistic of 637 health systems... for highlighting the extensive landscape."" This is citing a fact for context.",Used the 2018 AHRQ Compendium to provide the statistic of 637 health systems in the U.S. for highlighting the extensive landscape for virtual health implementation and the need for shared learnings.,Methodology & Data Quality,USA,2018,"The 2018 AHRQ Compendium identified 637 separate health systems in the United States, a statistic used by the authors to emphasize the large scale of the U.S. health care system and thus the importance of disseminating virtual health best practices widely.","The AHRQ Compendium's enumeration of 637 U.S. health systems highlights the necessity for scalable and broadly applicable policies regarding virtual health reimbursement, licensure, and technology standards to ensure consistent adoption and equitable access nationwide.",https://doi.org/10.2196/32819,
ACADEMIC,Reducing Overuse by Healthcare Systems: A Positive Deviance Analysis,Michael I Ellenbogen; [+ others],2023,J Gen Intern Med,"Johns Hopkins University School of Medicine, Johns Hopkins Bloomberg School of Public Health",RESEARCH_ENABLER,"AHRQ Compendium is used ""to link hospitals to health systems for identifying positive deviant systems."" This identification and linking is a critical methodological step to define the study groups for their analysis of overuse (which uses Medicare claims)",Used 2018 AHRQ Compendium to link hospitals to health systems for identifying positive deviant systems based on their overuse of healthcare services using Medicare claims data from 2016 through 2018,Quality & Outcomes,USA,2018,"No AHRQ-derived statistic is presented as a key finding, as AHRQ data were used to link hospitals to health systems to enable the identification of study participants (positive deviant health systems) based on an overuse index","The use of the AHRQ Compendium to identify health systems for studying overuse allowed for insights into how 'positive deviant' systems avoid low-value care, supporting further research into health system-level interventions and financial structures to reduce overuse and encourage high-value care delivery across all systems",https://doi.org/10.1007/s11606-023-08060-3,
ACADEMIC,Hospital-physician integration and clinical volume in traditional Medicare,"Brady Post, Brent K Hollenbeck, Edward C Norton,; [+ others]",2023,Health Serv Res,University of Michigan,CONTEXTUAL_REFERENCE,"The Compendium is used ""to state that 74 health systems... for contextualizing discussion."" This is citing a specific AHRQ statistic for background/context.","Used 2016 AHRQ Compendium of U.S. health systems to state that 74 health systems nationwide had developed their own Medicare Advantage plans in 2016, for contextualizing discussion on changes in Medicare insurance enrollment following physician integration",Payment & Reimbursement,USA,2016,"The 2016 AHRQ Compendium of U.S. health systems reported that 74 health systems nationwide had developed their own Medicare Advantage plans, a statistic used by the authors to discuss potential shifts in patient insurance enrollment","The AHRQ Compendium finding that 74 health systems had developed their own Medicare Advantage plans by 2016 informs discussions on how hospital-physician integration might influence patient payer mix, which is relevant for assessing impacts on Medicare spending, patient access, and physician practice patterns",https://pmc.ncbi.nlm.nih.gov/articles/PMC10771899/,
ACADEMIC,Gender-Affirming Primary Care Access Among Rural Transgender and Gender Diverse Adults in Five Northeastern U.S. States,"Anthony N. Almazan, Matan Benyishay, Brooke Stott,; [+ others]",2023,LGBT Health,Not specified in document,CONTEXTUAL_REFERENCE,"The Compendium is ""listed as a reference, but its specific application or purpose... is not detailed."" This qualifies as a general resource mention where active use isn't described.","The AHRQ Compendium of U.S. Health Systems (access date Oct 2021, specific data year not specified) is listed as a reference, but its specific application or purpose within this study is not detailed in the provided abstract or reference list context",Health Equity & Access,Multi-state,Not specified in document,"No AHRQ-derived statistic is presented as a key finding, as the specific use of the AHRQ Compendium is not detailed in the provided abstract","None stated, as the specific use of the AHRQ Compendium and its contribution to the study's findings are not detailed in the provided abstract",https://www.liebertpub.com/doi/10.1089/lgbt.2021.0391,
ACADEMIC,Estimates of ACO savings in the presence of provider and beneficiary selection,"MariÃ©tou H OuayogodÃ©, Ellen Meara, Kate Ho,; [+ others]",2021,Healthc (Amst),University of Wisconsin School of Medicine and Public Health,CONTEXTUAL_REFERENCE,"AHRQ documentation and an article are ""cited... as academic references to describe types of research."" This is referencing AHRQ's work to provide context about research methodologies and data sources.","Cited the 2016 AHRQ Compendium's Hospital Linkage File Technical Documentation and a 2018 AHRQ Compendium Health Affairs article as academic references to describe types of research on health care organization characteristics that are supported by comprehensive data sources like IQVIA, which was used in this study",Consolidation & Mergers,USA,"2016, 2018","No AHRQ-derived statistic is presented as a key finding, as AHRQ Compendium publications were cited as academic references to contextualize data sources for research on health system characteristics",None stated,https://pmc.ncbi.nlm.nih.gov/articles/PMC7887069/,
POLICY,Impact of Policy Options for Reducing Hospital Prices Paid by Private Health Plans,"Jodi L. Liu, Zachary M. Levinson, Nabeel Shariq Qureshi, et al.",2021,Policy Report,RAND Corporation,RESEARCH_ENABLER,"The AHRQ Compendium is used to ""obtain definitions of hospital systems"" which are then applied to treat hospitals as single units for calculating market shares and HHI. This is AHRQ providing a foundational definition and framework that enables the subsequent quantitative analysis of market concentration.","Used 2017 AHRQ Compendium of US Hospital Systems (as referenced by AHRQ, 2019 in text) to obtain definitions of hospital systems for treating hospitals within the same system in a given Hospital Referral Region as a single unit when calculating hospital market shares and Herfindahl-Hirschman Index",Antitrust & Competition Policy,USA,2017,"No AHRQ-derived statistic is presented as a key finding, as AHRQ Compendium data defining hospital systems were used methodologically to calculate market shares and Herfindahl-Hirschman Index values for the study's competition scenarios","The use of AHRQ Compendium system definitions to accurately calculate hospital market concentration (HHI) underpins the analysis of competition-based policy options, thereby informing policymakers about the potential impact of these options on reducing hospital prices",www.rand.org/t/RRA805-1,HIGH
ACADEMIC,Hospital‐based health systems 20 years later: A taxonomy for policy research and analysis,"Stephen M Shortell, Daniel J Gottlieb, Pablo Martinez Camblor, et al.",2021,Health Serv Res,"UC Berkeley School of Public Health, The Dartmouth Institute",CONTEXTUAL_REFERENCE,"The AHRQ Compendium's definitions and findings are used ""to compare with their newly developed taxonomy for highlighting differences and similarities."" This is a clear use of AHRQ as a benchmark or point of comparison to validate or contextualize their own taxonomy.","Used AHRQ Compendium (year not specified but implied to be contemporaneous or prior to 2016 study data) to compare its health system definition (e.g., allowing single-hospital systems) and findings (e.g., median hospitals per system, single-state location) with their newly developed taxonomy for highlighting differences and similarities in system characteristics",Methodology & Data Quality,USA,Not specified in document,"The AHRQ Compendium's health system definition (allowing single-hospital systems) differs from the study's (requiring two or more), leading to different median hospitals per system, though both sources indicated most system hospitals operate in a single state, providing a comparative baseline for system characteristics","The comparison of the study's taxonomy with AHRQ Compendium definitions and findings underscores the critical need for consistent and clear health system definitions for policymakers to accurately track consolidation, assess market impacts, and design effective health policies",https://pmc.ncbi.nlm.nih.gov/articles/PMC8143673/,HIGH
